,uid,name,subtext,is_proposition,updated,created,,,,
1,1,"Bezeichnung für das nicht professionelle Fussballspielen, also für den Freizeitsport", ,0,04.03.2015 08:15,0000-00-00 00:00:00,,x,,
2,2,Bezeichnung für das Frühstück am Arbeitsplatz,,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,x,,
3,3,"Paprikafrucht (mild, gross)<img src=""images/bilder/Paprikafrucht.jpg"">",Paprikafrucht.jpg,0,05.02.2015 13:02,0000-00-00 00:00:00,,,,
4,4,"Bezeichnung für ein rundes, flaches, süsses Gericht aus einem Teig aus Mehl, Milch und Eiern<img src=""images/bilder/Pfannkuchen.jpg"">",Pfannkuchen.jpg,0,04.03.2015 08:16,0000-00-00 00:00:00,,xx,pfannkuchen,.
5,5,"Bezeichnung für das süsse Gebäck in Form einer menschlichen Gestalt (_�Gebildbrot_�), das am Martinstag (11.11.) oder in der Vorweihnachtszeit (v. a. zu St. Nikolaus, also am 6.12.) gebacken wird<img src=""images/bilder/Hefegebaeckmann.jpg"">",Hefegebaeckmann.jpg,0,04.03.2015 08:26,0000-00-00 00:00:00,,x,,
6,6,"Bezeichnung für einen gebratenen, flachen Kloss aus zerkleinertem Fleisch<img src=""images/bilder/Fleischkloss.jpg"">",Fleischkloss.jpg,0,04.03.2015 08:16,0000-00-00 00:00:00,,xx,frikadelle,.
7,7,"Wie sagen Sie, wenn zwei oder mehr Personen &ndash; auf der Strasse, im Büro etc. &ndash; zusammenstehen und sich über Alltägliches (neutral, ohne schlecht über andere zu reden o. ä.) unterhalten?", ,0,04.03.2015 08:18,0000-00-00 00:00:00,,xx,sich unterhalten,.
8,8,"Bezeichnung für bequeme, warme (manchmal ausgetretene) Hausschuhe<img src=""images/bilder/Hausschuhe.jpg"">",Hausschuhe.jpg,0,05.02.2015 12:55,0000-00-00 00:00:00,,x,,
9,9,Uhrzeit 10:15,,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,x,,
10,10,"Bezeichnung dafür, wenn man in der Silvesternacht um 0:00 Uhr auf das neue Jahr anstö_t",,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,
11,11,"Bezeichnung für eine Steinschleuder<img src=""images/bilder/Steinschleuder.jpg"">",Steinschleuder.jpg,0,05.03.2015 09:21,0000-00-00 00:00:00,,xx,steinschleuder,.
12,12,"Bezeichnung für einen Sessel<img src=""images/bilder/Sessel.jpg"">",Sessel.jpg,0,02.04.2015 16:03,0000-00-00 00:00:00,,,,
13,13,Bezeichnung für eine angekündigte Schulprüfung, ,0,04.03.2015 08:18,0000-00-00 00:00:00,,,,
14,14,Bezeichnung für Schluckauf (gegenüber Kindern), ,0,03.04.2015 22:12,0000-00-00 00:00:00,,xx,schluckauf,.
15,15,"Bezeichnung für einen kleinen Nagel mit breitem, flachem Kopf (vor allem zum Festhalten von Papier an Wänden)",,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,
16,16,"Bezeichnung für das kleine Behältnis aus Leder, Stoff oder Plastikgewebe für Geld, Ausweiskarte sowie Geld- und Kreditkarten<img src=""images/bilder/Portemonnaie.jpg"">",Portemonnaie.jpg,0,05.02.2015 12:58,0000-00-00 00:00:00,,xx,geldb�rse,.
17,17,"Was sagt man, wenn es nichts zu tun gibt und die Zeit nicht verstreichen will?",,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,
18,18,Eine der verbreiteten Zubereitungsarten von Erdäpfeln/Kartoffeln ist das Zerkleinern und Pürieren von gekochten Salzkartoffeln/-erdäpfeln unter Zugabe von Milch und Salz (oft auch Butter sowie Muskat und/oder anderen Gewürzen).,,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,xx,kartoffelbrei,.
19,19,Aussprache des 1. Worts im Satz: _�Haben wir noch (eine) Milch [im Haus]?_�, ,0,02.04.2015 19:24,0000-00-00 00:00:00,,,,
20,20,Aussprache von 15, ,0,04.03.2015 08:33,0000-00-00 00:00:00,,,,
21,21,"Bezeichnung für das Behältnis für Schreibutensilien, das flach und rechteckig ist und Schlaufen für die Stifte etc. hat", ,0,04.03.2015 08:21,0000-00-00 00:00:00,,x,,
22,22,Aussprache von _�das_� in einem Satz wie _�Das weiss ich auch nicht_� , ,0,04.03.2015 08:22,0000-00-00 00:00:00,,,,
23,23,Bezeichnung für das abgeschnittene Anfangs- oder Endstück eines Brotes, ,0,02.04.2015 19:37,0000-00-00 00:00:00,,xx,kanten,.
24,24,Bezeichnung für das 10-Cent-Stück/10-Rappen-Stück, ,0,02.04.2015 19:36,0000-00-00 00:00:00,,,,
