"id","hexID","X1","X2","X3","X4","X5","X6","X7","X8","rel_1","rel_2","rel_3","rel_4","rel_5","rel_6","rel_7","rel_8","relMax","absMax","maxLevel","total","antwort"
"ID1","ID1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID2","ID2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID3","ID3",3,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,3,"5",3,"tschutten"
"ID4","ID4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID5","ID5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID6","ID6",6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,"1",1,"bolzen"
"ID7","ID7",7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,"5",1,"tschutten"
"ID8","ID8",8,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,5,"5",5,"tschutten"
"ID9","ID9",9,1,0,0,0,16,0,0,0,0.0588235294117647,0,0,0,0.941176470588235,0,0,0,0.941176470588235,16,"5",17,"tschutten"
"ID10","ID10",10,0,1,0,0,5,0,0,0,0,0.166666666666667,0,0,0.833333333333333,0,0,0,0.833333333333333,5,"5",6,"tschutten"
"ID11","ID11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID12","ID12",12,0,1,1,1,1,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0.25,1,"2",4,"Fussball spielen"
"ID13","ID13",13,0,5,0,1,2,0,0,0,0,0.625,0,0.125,0.25,0,0,0,0.625,5,"2",8,"Fussball spielen"
"ID14","ID14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID15","ID15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID16","ID16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID17","ID17",17,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,3,"5",3,"tschutten"
"ID18","ID18",18,0,0,0,1,1,1,0,0,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0.333333333333333,1,"4",3,"kicken"
"ID19","ID19",19,1,0,0,1,15,0,0,0,0.0588235294117647,0,0,0.0588235294117647,0.882352941176471,0,0,0,0.882352941176471,15,"5",17,"tschutten"
"ID20","ID20",20,0,0,0,0,29,0,0,0,0,0,0,0,1,0,0,0,1,29,"5",29,"tschutten"
"ID21","ID21",21,0,1,0,0,3,0,0,0,0,0.25,0,0,0.75,0,0,0,0.75,3,"5",4,"tschutten"
"ID22","ID22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID23","ID23",23,1,2,0,0,2,0,0,0,0.2,0.4,0,0,0.4,0,0,0,0.4,2,"2",5,"Fussball spielen"
"ID24","ID24",24,1,3,0,0,1,0,1,0,0.166666666666667,0.5,0,0,0.166666666666667,0,0.166666666666667,0,0.5,3,"2",6,"Fussball spielen"
"ID25","ID25",25,0,1,1,0,2,0,0,0,0,0.25,0.25,0,0.5,0,0,0,0.5,2,"5",4,"tschutten"
"ID26","ID26",26,0,1,0,0,1,0,0,1,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0.333333333333333,1,"2",3,"Fussball spielen"
"ID27","ID27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID28","ID28",28,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,"3",1,"fussballen"
"ID29","ID29",29,0,0,0,0,1,1,0,0,0,0,0,0,0.5,0.5,0,0,0.5,1,"5",2,"tschutten"
"ID30","ID30",30,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,"5",1,"tschutten"
"ID31","ID31",31,1,1,0,0,3,1,0,0,0.166666666666667,0.166666666666667,0,0,0.5,0.166666666666667,0,0,0.5,3,"5",6,"tschutten"
"ID32","ID32",32,2,0,1,1,53,1,0,0,0.0344827586206897,0,0.0172413793103448,0.0172413793103448,0.913793103448276,0.0172413793103448,0,0,0.913793103448276,53,"5",58,"tschutten"
"ID33","ID33",33,2,2,0,0,102,4,0,2,0.0178571428571429,0.0178571428571429,0,0,0.910714285714286,0.0357142857142857,0,0.0178571428571429,0.910714285714286,102,"5",112,"tschutten"
"ID34","ID34",34,2,2,1,1,106,1,0,1,0.0175438596491228,0.0175438596491228,0.0087719298245614,0.0087719298245614,0.929824561403509,0.0087719298245614,0,0.0087719298245614,0.929824561403509,106,"5",114,"tschutten"
"ID35","ID35",35,1,1,0,1,12,0,0,0,0.0666666666666667,0.0666666666666667,0,0.0666666666666667,0.8,0,0,0,0.8,12,"5",15,"tschutten"
"ID36","ID36",36,1,0,0,0,2,0,0,0,0.333333333333333,0,0,0,0.666666666666667,0,0,0,0.666666666666667,2,"5",3,"tschutten"
"ID37","ID37",37,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,"5",1,"tschutten"
"ID38","ID38",38,1,1,0,1,0,0,0,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0,0,0,0.333333333333333,1,"1",3,"bolzen"
"ID39","ID39",39,1,1,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0.5,1,"1",2,"bolzen"
"ID40","ID40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID41","ID41",41,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,2,"4",2,"kicken"
"ID42","ID42",42,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,2,"5",2,"tschutten"
"ID43","ID43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID44","ID44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID45","ID45",45,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,2,"6",2,"schutten"
"ID46","ID46",46,0,0,0,1,0,0,0,1,0,0,0,0.5,0,0,0,0.5,0.5,1,"4",2,"kicken"
"ID47","ID47",47,2,1,0,2,0,0,0,0,0.4,0.2,0,0.4,0,0,0,0,0.4,2,"1",5,"bolzen"
"ID48","ID48",48,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"2",1,"Fussball spielen"
"ID49","ID49",49,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"2",1,"Fussball spielen"
"ID50","ID50",50,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,"5",1,"tschutten"
"ID51","ID51",51,0,0,1,0,5,21,0,0,0,0,0.037037037037037,0,0.185185185185185,0.777777777777778,0,0,0.777777777777778,21,"6",27,"schutten"
"ID52","ID52",52,0,0,0,0,2,11,0,0,0,0,0,0,0.153846153846154,0.846153846153846,0,0,0.846153846153846,11,"6",13,"schutten"
"ID53","ID53",53,0,1,0,0,2,16,0,0,0,0.0526315789473684,0,0,0.105263157894737,0.842105263157895,0,0,0.842105263157895,16,"6",19,"schutten"
"ID54","ID54",54,1,0,0,0,7,6,0,0,0.0714285714285714,0,0,0,0.5,0.428571428571429,0,0,0.5,7,"5",14,"tschutten"
"ID55","ID55",55,0,0,0,2,4,4,0,0,0,0,0,0.2,0.4,0.4,0,0,0.4,4,"5",10,"tschutten"
"ID56","ID56",56,0,1,0,0,12,1,0,0,0,0.0714285714285714,0,0,0.857142857142857,0.0714285714285714,0,0,0.857142857142857,12,"5",14,"tschutten"
"ID57","ID57",57,0,0,1,0,6,0,0,0,0,0,0.142857142857143,0,0.857142857142857,0,0,0,0.857142857142857,6,"5",7,"tschutten"
"ID58","ID58",58,0,1,0,0,1,0,0,0,0,0.5,0,0,0.5,0,0,0,0.5,1,"2",2,"Fussball spielen"
"ID59","ID59",59,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,"1",1,"bolzen"
"ID60","ID60",60,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,3,"5",3,"tschutten"
"ID61","ID61",61,2,0,0,0,0,1,0,0,0.666666666666667,0,0,0,0,0.333333333333333,0,0,0.666666666666667,2,"1",3,"bolzen"
"ID62","ID62",62,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,"5",1,"tschutten"
"ID63","ID63",63,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"2",1,"Fussball spielen"
"ID64","ID64",64,0,1,0,0,1,0,0,0,0,0.5,0,0,0.5,0,0,0,0.5,1,"2",2,"Fussball spielen"
"ID65","ID65",65,1,6,0,1,8,0,0,0,0.0625,0.375,0,0.0625,0.5,0,0,0,0.5,8,"5",16,"tschutten"
"ID66","ID66",66,1,8,0,1,21,0,0,0,0.032258064516129,0.258064516129032,0,0.032258064516129,0.67741935483871,0,0,0,0.67741935483871,21,"5",31,"tschutten"
"ID67","ID67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID68","ID68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID69","ID69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID70","ID70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID71","ID71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID72","ID72",72,1,17,1,25,0,0,0,0,0.0227272727272727,0.386363636363636,0.0227272727272727,0.568181818181818,0,0,0,0,0.568181818181818,25,"4",44,"kicken"
"ID73","ID73",73,2,9,0,15,1,0,0,0,0.0740740740740741,0.333333333333333,0,0.555555555555556,0.037037037037037,0,0,0,0.555555555555556,15,"4",27,"kicken"
"ID74","ID74",74,1,13,0,14,0,0,0,0,0.0357142857142857,0.464285714285714,0,0.5,0,0,0,0,0.5,14,"4",28,"kicken"
"ID75","ID75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID76","ID76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
