"id","hexID","X152","X153","X154","X155","X156","X157","rel_152","rel_153","rel_154","rel_155","rel_156","rel_157","relMax","absMax","maxLevel","total","antwort"
"ID1","ID1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID2","ID2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID3","ID3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID4","ID4",4,1,0,0,0,0,0,1,0,0,0,0,0,1,1,"152",1,"Portemonnaie/Portmonee"
"ID5","ID5",5,1,0,0,0,0,0,1,0,0,0,0,0,1,1,"152",1,"Portemonnaie/Portmonee"
"ID6","ID6",6,4,0,0,0,0,0,1,0,0,0,0,0,1,4,"152",4,"Portemonnaie/Portmonee"
"ID7","ID7",7,6,0,0,0,0,5,0.545454545454545,0,0,0,0,0.454545454545455,0.545454545454545,6,"152",11,"Portemonnaie/Portmonee"
"ID8","ID8",8,4,0,0,0,0,4,0.5,0,0,0,0,0.5,0.5,4,"152",8,"Portemonnaie/Portmonee"
"ID9","ID9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID10","ID10",10,3,1,0,1,0,1,0.5,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0.5,3,"152",6,"Portemonnaie/Portmonee"
"ID11","ID11",11,3,0,1,0,0,1,0.6,0,0.2,0,0,0.2,0.6,3,"152",5,"Portemonnaie/Portmonee"
"ID12","ID12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID13","ID13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID14","ID14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID15","ID15",15,1,0,0,0,0,0,1,0,0,0,0,0,1,1,"152",1,"Portemonnaie/Portmonee"
"ID16","ID16",16,3,0,0,0,0,1,0.75,0,0,0,0,0.25,0.75,3,"152",4,"Portemonnaie/Portmonee"
"ID17","ID17",17,8,0,0,0,0,5,0.615384615384615,0,0,0,0,0.384615384615385,0.615384615384615,8,"152",13,"Portemonnaie/Portmonee"
"ID18","ID18",18,12,0,0,0,0,14,0.461538461538462,0,0,0,0,0.538461538461538,0.538461538461538,14,"157",26,"Geldsack/Geldsäckel"
"ID19","ID19",19,3,1,0,0,0,0,0.75,0.25,0,0,0,0,0.75,3,"152",4,"Portemonnaie/Portmonee"
"ID20","ID20",20,1,0,0,0,0,0,1,0,0,0,0,0,1,1,"152",1,"Portemonnaie/Portmonee"
"ID21","ID21",21,5,0,0,0,0,0,1,0,0,0,0,0,1,5,"152",5,"Portemonnaie/Portmonee"
"ID22","ID22",22,5,0,0,0,1,0,0.833333333333333,0,0,0,0.166666666666667,0,0.833333333333333,5,"152",6,"Portemonnaie/Portmonee"
