"id","hexID","X9","X11","X12","X13","X14","X15","X16","rel_9","rel_11","rel_12","rel_13","rel_14","rel_15","rel_16","relMax","absMax","maxLevel","total","antwort"
"ID1","ID1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID2","ID2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID3","ID3",3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"9",1,"Frühstückspause / Pause / Kaffeepause"
"ID4","ID4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID5","ID5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID6","ID6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID7","ID7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID8","ID8",8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,"15",1,"Znüni"
"ID9","ID9",9,2,0,0,0,0,1,0,0.666666666666667,0,0,0,0,0.333333333333333,0,0.666666666666667,2,"9",3,"Frühstückspause / Pause / Kaffeepause"
"ID10","ID10",10,3,0,0,0,2,10,0,0.2,0,0,0,0.133333333333333,0.666666666666667,0,0.666666666666667,10,"15",15,"Znüni"
"ID11","ID11",11,7,0,0,0,1,7,0,0.466666666666667,0,0,0,0.0666666666666667,0.466666666666667,0,0.466666666666667,7,"9",15,"Frühstückspause / Pause / Kaffeepause"
"ID12","ID12",12,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,"15",1,"Znüni"
"ID13","ID13",13,2,2,0,0,0,4,0,0.25,0.25,0,0,0,0.5,0,0.5,4,"15",8,"Znüni"
"ID14","ID14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID15","ID15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID16","ID16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID17","ID17",17,0,1,0,0,0,1,0,0,0.5,0,0,0,0.5,0,0.5,1,"11",2,"(zweites) Frühstück"
"ID18","ID18",18,2,0,0,1,0,0,0,0.666666666666667,0,0,0.333333333333333,0,0,0,0.666666666666667,2,"9",3,"Frühstückspause / Pause / Kaffeepause"
"ID19","ID19",19,4,0,0,0,0,7,0,0.363636363636364,0,0,0,0,0.636363636363636,0,0.636363636363636,7,"15",11,"Znüni"
"ID20","ID20",20,17,0,0,0,1,25,0,0.395348837209302,0,0,0,0.0232558139534884,0.581395348837209,0,0.581395348837209,25,"15",43,"Znüni"
"ID21","ID21",21,2,0,0,0,0,4,0,0.333333333333333,0,0,0,0,0.666666666666667,0,0.666666666666667,4,"15",6,"Znüni"
"ID22","ID22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID23","ID23",23,2,0,0,0,0,1,0,0.666666666666667,0,0,0,0,0.333333333333333,0,0.666666666666667,2,"9",3,"Frühstückspause / Pause / Kaffeepause"
"ID24","ID24",24,4,0,1,0,1,1,0,0.571428571428571,0,0.142857142857143,0,0.142857142857143,0.142857142857143,0,0.571428571428571,4,"9",7,"Frühstückspause / Pause / Kaffeepause"
"ID25","ID25",25,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,4,"15",4,"Znüni"
"ID26","ID26",26,0,1,1,0,0,2,0,0,0.25,0.25,0,0,0.5,0,0.5,2,"15",4,"Znüni"
"ID27","ID27",27,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"9",1,"Frühstückspause / Pause / Kaffeepause"
"ID28","ID28",28,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"9",1,"Frühstückspause / Pause / Kaffeepause"
"ID29","ID29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID30","ID30",30,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,2,"15",2,"Znüni"
"ID31","ID31",31,0,0,0,0,1,1,0,0,0,0,0,0.5,0.5,0,0.5,1,"14",2,"Vesper"
"ID32","ID32",32,16,1,0,0,2,33,1,0.30188679245283,0.0188679245283019,0,0,0.0377358490566038,0.622641509433962,0.0188679245283019,0.622641509433962,33,"15",53,"Znüni"
"ID33","ID33",33,21,2,0,1,2,73,0,0.212121212121212,0.0202020202020202,0,0.0101010101010101,0.0202020202020202,0.737373737373737,0,0.737373737373737,73,"15",99,"Znüni"
"ID34","ID34",34,43,4,2,0,1,66,0,0.370689655172414,0.0344827586206897,0.0172413793103448,0,0.00862068965517241,0.568965517241379,0,0.568965517241379,66,"15",116,"Znüni"
"ID35","ID35",35,4,0,0,0,1,15,1,0.19047619047619,0,0,0,0.0476190476190476,0.714285714285714,0.0476190476190476,0.714285714285714,15,"15",21,"Znüni"
"ID36","ID36",36,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,"15",1,"Znüni"
"ID37","ID37",37,1,0,0,0,0,2,0,0.333333333333333,0,0,0,0,0.666666666666667,0,0.666666666666667,2,"15",3,"Znüni"
"ID38","ID38",38,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,"9",2,"Frühstückspause / Pause / Kaffeepause"
"ID39","ID39",39,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,2,"12",2,"Brotzeit"
"ID40","ID40",40,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,"13",1,"Jause"
"ID41","ID41",41,1,0,0,0,1,0,0,0.5,0,0,0,0.5,0,0,0.5,1,"9",2,"Frühstückspause / Pause / Kaffeepause"
"ID42","ID42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID43","ID43",43,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,2,"15",2,"Znüni"
"ID44","ID44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID45","ID45",45,1,0,0,0,1,2,0,0.25,0,0,0,0.25,0.5,0,0.5,2,"15",4,"Znüni"
"ID46","ID46",46,1,0,0,0,0,1,0,0.5,0,0,0,0,0.5,0,0.5,1,"9",2,"Frühstückspause / Pause / Kaffeepause"
"ID47","ID47",47,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"9",1,"Frühstückspause / Pause / Kaffeepause"
"ID48","ID48",48,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,"15",1,"Znüni"
"ID49","ID49",49,1,0,0,0,0,18,0,0.0526315789473684,0,0,0,0,0.947368421052632,0,0.947368421052632,18,"15",19,"Znüni"
"ID50","ID50",50,0,0,0,0,0,22,0,0,0,0,0,0,1,0,1,22,"15",22,"Znüni"
"ID51","ID51",51,0,0,0,0,0,20,0,0,0,0,0,0,1,0,1,20,"15",20,"Znüni"
"ID52","ID52",52,1,0,0,0,0,12,0,0.0769230769230769,0,0,0,0,0.923076923076923,0,0.923076923076923,12,"15",13,"Znüni"
"ID53","ID53",53,1,1,0,1,2,9,1,0.0666666666666667,0.0666666666666667,0,0.0666666666666667,0.133333333333333,0.6,0.0666666666666667,0.6,9,"15",15,"Znüni"
"ID54","ID54",54,4,1,0,0,0,5,1,0.363636363636364,0.0909090909090909,0,0,0,0.454545454545455,0.0909090909090909,0.454545454545455,5,"15",11,"Znüni"
"ID55","ID55",55,4,0,0,0,0,7,0,0.363636363636364,0,0,0,0,0.636363636363636,0,0.636363636363636,7,"15",11,"Znüni"
"ID56","ID56",56,1,0,0,0,0,2,0,0.333333333333333,0,0,0,0,0.666666666666667,0,0.666666666666667,2,"15",3,"Znüni"
"ID57","ID57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID58","ID58",58,0,0,0,0,1,5,0,0,0,0,0,0.166666666666667,0.833333333333333,0,0.833333333333333,5,"15",6,"Znüni"
"ID59","ID59",59,0,0,1,0,0,1,0,0,0,0.5,0,0,0.5,0,0.5,1,"12",2,"Brotzeit"
"ID60","ID60",60,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"9",1,"Frühstückspause / Pause / Kaffeepause"
"ID61","ID61",61,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"9",1,"Frühstückspause / Pause / Kaffeepause"
"ID62","ID62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID63","ID63",63,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"9",1,"Frühstückspause / Pause / Kaffeepause"
"ID64","ID64",64,2,0,0,0,2,4,0,0.25,0,0,0,0.25,0.5,0,0.5,4,"15",8,"Znüni"
"ID65","ID65",65,3,0,1,0,0,36,0,0.075,0,0.025,0,0,0.9,0,0.9,36,"15",40,"Znüni"
"ID66","ID66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID67","ID67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID68","ID68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID69","ID69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID70","ID70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID71","ID71",71,6,0,0,23,0,0,0,0.206896551724138,0,0,0.793103448275862,0,0,0,0.793103448275862,23,"13",29,"Jause"
"ID72","ID72",72,15,4,1,24,1,0,1,0.326086956521739,0.0869565217391304,0.0217391304347826,0.521739130434783,0.0217391304347826,0,0.0217391304347826,0.521739130434783,24,"13",46,"Jause"
"ID73","ID73",73,3,4,1,16,0,0,0,0.125,0.166666666666667,0.0416666666666667,0.666666666666667,0,0,0,0.666666666666667,16,"13",24,"Jause"
"ID74","ID74",74,2,2,0,3,0,0,0,0.285714285714286,0.285714285714286,0,0.428571428571429,0,0,0,0.428571428571429,3,"13",7,"Jause"
"ID75","ID75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
