"id","hexID","X22","X24","X25","X26","X27","X28","X29","X30","X32","X33","rel_22","rel_24","rel_25","rel_26","rel_27","rel_28","rel_29","rel_30","rel_32","rel_33","relMax","absMax","maxLevel","total","antwort"
"ID1","ID1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID2","ID2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID3","ID3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID4","ID4",4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"22",1,"Pfannkuche(n) / Pfanne(n)kuche(n)"
"ID5","ID5",5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,"27",1,"die Om(e)lette"
"ID6","ID6",6,0,0,0,3,0,0,0,0,1,0,0,0,0,0.75,0,0,0,0,0.25,0,0.75,3,"26",4,"das Om(e)lett"
"ID7","ID7",7,1,0,0,6,1,0,0,0,1,0,0.111111111111111,0,0,0.666666666666667,0.111111111111111,0,0,0,0.111111111111111,0,0.666666666666667,6,"26",9,"das Om(e)lett"
"ID8","ID8",8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,"32",1,"Crêpe"
"ID9","ID9",9,1,0,0,2,1,0,0,0,1,0,0.2,0,0,0.4,0.2,0,0,0,0.2,0,0.4,2,"26",5,"das Om(e)lett"
"ID10","ID10",10,1,0,0,0,1,0,0,0,2,0,0.25,0,0,0,0.25,0,0,0,0.5,0,0.5,2,"32",4,"Crêpe"
"ID11","ID11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID12","ID12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID13","ID13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID14","ID14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID15","ID15",15,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0,0.333333333333333,1,"27",3,"die Om(e)lette"
"ID16","ID16",16,0,0,1,10,0,0,0,0,3,0,0,0,0.0714285714285714,0.714285714285714,0,0,0,0,0.214285714285714,0,0.714285714285714,10,"26",14,"das Om(e)lett"
"ID17","ID17",17,0,0,0,10,3,0,0,0,6,1,0,0,0,0.5,0.15,0,0,0,0.3,0.05,0.5,10,"26",20,"das Om(e)lett"
"ID18","ID18",18,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"26",1,"das Om(e)lett"
"ID19","ID19",19,0,0,1,2,1,0,0,0,1,0,0,0,0.2,0.4,0.2,0,0,0,0.2,0,0.4,2,"26",5,"das Om(e)lett"
"ID20","ID20",20,3,1,0,1,0,0,0,0,1,0,0.5,0.166666666666667,0,0.166666666666667,0,0,0,0,0.166666666666667,0,0.5,3,"22",6,"Pfannkuche(n) / Pfanne(n)kuche(n)"
"ID21","ID21",21,0,0,0,1,0,0,0,0,3,0,0,0,0,0.25,0,0,0,0,0.75,0,0.75,3,"32",4,"Crêpe"
