"id","hexID","X34","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","rel_34","rel_36","rel_37","rel_38","rel_39","rel_40","rel_41","rel_42","rel_43","rel_44","rel_45","rel_46","relMax","absMax","maxLevel","total","antwort"
"ID1","ID1",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,"39",1,"Grittibänz"
"ID2","ID2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID3","ID3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID4","ID4",4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,"34",1,"Weck(en)mann / Weck(en)männchen / Weckenmännle"
"ID5","ID5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID6","ID6",6,0,0,0,0,11,1,0,0,0,0,0,1,0,0,0,0,0.846153846153846,0.0769230769230769,0,0,0,0,0,0.0769230769230769,0.846153846153846,11,"39",13,"Grittibänz"
"ID7","ID7",7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,"39",4,"Grittibänz"
"ID8","ID8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID9","ID9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID10","ID10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID11","ID11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID12","ID12",12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,"39",2,"Grittibänz"
"ID13","ID13",13,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0.833333333333333,0.166666666666667,0,0,0,0,0,0,0.833333333333333,5,"39",6,"Grittibänz"
"ID14","ID14",14,0,0,0,0,15,0,1,0,0,0,2,1,0,0,0,0,0.789473684210526,0,0.0526315789473684,0,0,0,0.105263157894737,0.0526315789473684,0.789473684210526,15,"39",19,"Grittibänz"
"ID15","ID15",15,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12,"39",12,"Grittibänz"
"ID16","ID16",16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"45",1,"Lebkuchenmann"
"ID17","ID17",17,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0.666666666666667,0,0.166666666666667,0,0,0,0.166666666666667,0,0.666666666666667,4,"39",6,"Grittibänz"
"ID18","ID18",18,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0.6,0,0,0,0,0,0.2,0.2,0.6,3,"39",5,"Grittibänz"
"ID19","ID19",19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"46",1,"Word unknown"
"ID20","ID20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID21","ID21",21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,"39",2,"Grittibänz"
"ID22","ID22",22,1,0,0,0,2,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0.666666666666667,2,"39",3,"Grittibänz"
"ID23","ID23",23,0,0,0,1,24,1,0,1,0,0,0,1,0,0,0,0.0357142857142857,0.857142857142857,0.0357142857142857,0,0.0357142857142857,0,0,0,0.0357142857142857,0.857142857142857,24,"39",28,"Grittibänz"
"ID24","ID24",24,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,45,"39",45,"Grittibänz"
"ID25","ID25",25,0,0,1,0,152,3,0,1,0,0,0,2,0,0,0.00628930817610063,0,0.955974842767296,0.0188679245283019,0,0.00628930817610063,0,0,0,0.0125786163522013,0.955974842767296,152,"39",159,"Grittibänz"
"ID26","ID26",26,0,0,0,1,26,2,0,0,0,0,0,1,0,0,0,0.0333333333333333,0.866666666666667,0.0666666666666667,0,0,0,0,0,0.0333333333333333,0.866666666666667,26,"39",30,"Grittibänz"
"ID27","ID27",27,0,1,0,0,2,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0.666666666666667,0,0,0,0,0,0,0,0.666666666666667,2,"39",3,"Grittibänz"
"ID28","ID28",28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"46",1,"Word unknown"
"ID29","ID29",29,0,1,0,2,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0.666666666666667,0,0,0,0,0,0,0,0,0.666666666666667,2,"38",3,"Krampus"
"ID30","ID30",30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,"43",1,"Hefekerl"
"ID31","ID31",31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,"39",1,"Grittibänz"
"ID32","ID32",32,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,1,"39",2,"Grittibänz"
"ID33","ID33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID34","ID34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID35","ID35",35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,"39",1,"Grittibänz"
"ID36","ID36",36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"40",1,"Grättimann"
"ID37","ID37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID38","ID38",38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,"39",1,"Grittibänz"
