"id","hexID","X47","X48","X49","X50","X51","X54","X55","X56","X57","X58","X59","X60","X61","X62","rel_47","rel_48","rel_49","rel_50","rel_51","rel_54","rel_55","rel_56","rel_57","rel_58","rel_59","rel_60","rel_61","rel_62","relMax","absMax","maxLevel","total","antwort"
"ID1","ID1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID2","ID2",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"47",1,"Frikadelle"
"ID3","ID3",3,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0.4,0.6,3,"58",5,"Hackplätzli"
"ID4","ID4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID5","ID5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID6","ID6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID7","ID7",7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,"57",1,"Hacktätschli"
"ID8","ID8",8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,"47",2,"Frikadelle"
"ID9","ID9",9,1,0,0,1,0,0,0,0,5,3,1,0,0,1,0.0833333333333333,0,0,0.0833333333333333,0,0,0,0,0.416666666666667,0.25,0.0833333333333333,0,0,0.0833333333333333,0.416666666666667,5,"57",12,"Hacktätschli"
"ID10","ID10",10,2,0,0,0,0,0,0,0,7,5,2,1,0,5,0.0909090909090909,0,0,0,0,0,0,0,0.318181818181818,0.227272727272727,0.0909090909090909,0.0454545454545455,0,0.227272727272727,0.318181818181818,7,"57",22,"Hacktätschli"
"ID11","ID11",11,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,2,"47",4,"Frikadelle"
"ID12","ID12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID13","ID13",13,4,1,2,0,0,0,0,0,0,1,0,1,0,0,0.444444444444444,0.111111111111111,0.222222222222222,0,0,0,0,0,0,0.111111111111111,0,0.111111111111111,0,0,0.444444444444444,4,"47",9,"Frikadelle"
"ID14","ID14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID15","ID15",15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,"49",1,"Bulette"
"ID16","ID16",16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,"57",1,"Hacktätschli"
"ID17","ID17",17,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,1,"57",2,"Hacktätschli"
"ID18","ID18",18,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.8,0.8,4,"62",5,"Sonstiges"
"ID19","ID19",19,1,0,0,0,0,0,0,0,4,13,0,0,0,6,0.0416666666666667,0,0,0,0,0,0,0,0.166666666666667,0.541666666666667,0,0,0,0.25,0.541666666666667,13,"58",24,"Hackplätzli"
"ID20","ID20",20,0,0,0,0,1,0,1,0,25,41,2,1,0,29,0,0,0,0,0.01,0,0.01,0,0.25,0.41,0.02,0.01,0,0.29,0.41,41,"58",100,"Hackplätzli"
"ID21","ID21",21,1,0,2,0,0,0,0,0,10,21,4,0,0,8,0.0217391304347826,0,0.0434782608695652,0,0,0,0,0,0.217391304347826,0.456521739130435,0.0869565217391304,0,0,0.173913043478261,0.456521739130435,21,"58",46,"Hackplätzli"
"ID22","ID22",22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,"57",1,"Hacktätschli"
"ID23","ID23",23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,"50",1,"(Brat-/Fleisch-)Klops"
"ID24","ID24",24,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0.2,0,0,0,0,0,0.2,0,0,0,0.2,0,0.2,0.2,0.2,1,"47",5,"Frikadelle"
"ID25","ID25",25,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0.666666666666667,2,"47",3,"Frikadelle"
"ID26","ID26",26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"62",1,"Sonstiges"
"ID27","ID27",27,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,1,"57",2,"Hacktätschli"
"ID28","ID28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID29","ID29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID30","ID30",30,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0.666666666666667,2,"57",3,"Hacktätschli"
"ID31","ID31",31,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0.25,0,0,0,0,0,0,0.5,0.25,0,0,0,0,0.5,2,"57",4,"Hacktätschli"
"ID32","ID32",32,1,1,1,0,0,0,1,0,7,11,1,0,0,10,0.0303030303030303,0.0303030303030303,0.0303030303030303,0,0,0,0.0303030303030303,0,0.212121212121212,0.333333333333333,0.0303030303030303,0,0,0.303030303030303,0.333333333333333,11,"58",33,"Hackplätzli"
"ID33","ID33",33,1,1,1,0,0,0,0,0,6,16,0,0,0,6,0.032258064516129,0.032258064516129,0.032258064516129,0,0,0,0,0,0.193548387096774,0.516129032258065,0,0,0,0.193548387096774,0.516129032258065,16,"58",31,"Hackplätzli"
"ID34","ID34",34,3,0,1,0,1,0,0,0,22,37,3,0,0,20,0.0344827586206897,0,0.0114942528735632,0,0.0114942528735632,0,0,0,0.252873563218391,0.425287356321839,0.0344827586206897,0,0,0.229885057471264,0.425287356321839,37,"58",87,"Hackplätzli"
"ID35","ID35",35,1,0,1,0,0,0,1,0,3,18,0,0,0,6,0.0333333333333333,0,0.0333333333333333,0,0,0,0.0333333333333333,0,0.1,0.6,0,0,0,0.2,0.6,18,"58",30,"Hackplätzli"
"ID36","ID36",36,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333,1,"47",3,"Frikadelle"
"ID37","ID37",37,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333,1,"47",3,"Frikadelle"
"ID38","ID38",38,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,1,"48",2,"Fleischküchle"
