"id","hexID","X73","X74","X75","X76","X77","X78","X79","X81","X82","rel_73","rel_74","rel_75","rel_76","rel_77","rel_78","rel_79","rel_81","rel_82","relMax","absMax","maxLevel","total","antwort"
"ID1","ID1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID2","ID2",2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,"73",1,"Latschen"
"ID3","ID3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID4","ID4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID5","ID5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID6","ID6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID7","ID7",7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,"74",1,"Pantoffeln"
"ID8","ID8",8,0,1,0,0,0,1,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,1,"74",2,"Pantoffeln"
"ID9","ID9",9,1,2,0,0,0,10,0,0,1,0.0714285714285714,0.142857142857143,0,0,0,0.714285714285714,0,0,0.0714285714285714,0.714285714285714,10,"78",14,"Finken"
"ID10","ID10",10,0,3,1,0,0,13,0,0,0,0,0.176470588235294,0.0588235294117647,0,0,0.764705882352941,0,0,0,0.764705882352941,13,"78",17,"Finken"
"ID11","ID11",11,0,2,0,0,0,2,1,0,0,0,0.4,0,0,0,0.4,0.2,0,0,0.4,2,"74",5,"Pantoffeln"
"ID12","ID12",12,1,2,1,0,0,1,0,0,0,0.2,0.4,0.2,0,0,0.2,0,0,0,0.4,2,"74",5,"Pantoffeln"
"ID13","ID13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID14","ID14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID15","ID15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID16","ID16",16,1,1,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0.5,1,"73",2,"Latschen"
"ID17","ID17",17,1,2,0,0,0,0,0,0,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0.666666666666667,2,"74",3,"Pantoffeln"
"ID18","ID18",18,1,3,0,0,0,6,0,1,0,0.0909090909090909,0.272727272727273,0,0,0,0.545454545454545,0,0.0909090909090909,0,0.545454545454545,6,"78",11,"Finken"
"ID19","ID19",19,1,8,1,0,0,21,0,1,1,0.0303030303030303,0.242424242424242,0.0303030303030303,0,0,0.636363636363636,0,0.0303030303030303,0.0303030303030303,0.636363636363636,21,"78",33,"Finken"
"ID20","ID20",20,1,4,0,0,0,1,0,0,0,0.166666666666667,0.666666666666667,0,0,0,0.166666666666667,0,0,0,0.666666666666667,4,"74",6,"Pantoffeln"
"ID21","ID21",21,1,1,0,0,0,0,0,0,1,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0.333333333333333,0.333333333333333,1,"73",3,"Latschen"
"ID22","ID22",22,1,2,1,0,0,3,0,2,0,0.111111111111111,0.222222222222222,0.111111111111111,0,0,0.333333333333333,0,0.222222222222222,0,0.333333333333333,3,"78",9,"Finken"
"ID23","ID23",23,2,1,0,0,0,1,0,0,0,0.5,0.25,0,0,0,0.25,0,0,0,0.5,2,"73",4,"Latschen"
"ID24","ID24",24,1,0,1,0,0,1,0,0,0,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0.333333333333333,1,"73",3,"Latschen"
"ID25","ID25",25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,"81",1,"Hausschuhe"
"ID26","ID26",26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,"81",1,"Hausschuhe"
"ID27","ID27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID28","ID28",28,0,1,0,0,0,1,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,1,"74",2,"Pantoffeln"
"ID29","ID29",29,0,0,1,0,0,1,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0.5,1,"75",2,"Schlapfen/Schlappen"
"ID30","ID30",30,1,19,4,0,0,26,0,2,0,0.0192307692307692,0.365384615384615,0.0769230769230769,0,0,0.5,0,0.0384615384615385,0,0.5,26,"78",52,"Finken"
"ID31","ID31",31,8,20,3,0,0,54,1,4,1,0.0879120879120879,0.21978021978022,0.032967032967033,0,0,0.593406593406593,0.010989010989011,0.043956043956044,0.010989010989011,0.593406593406593,54,"78",91,"Finken"
"ID32","ID32",32,9,39,4,0,0,77,0,1,0,0.0692307692307692,0.3,0.0307692307692308,0,0,0.592307692307692,0,0.00769230769230769,0,0.592307692307692,77,"78",130,"Finken"
"ID33","ID33",33,0,3,0,0,0,8,0,2,1,0,0.214285714285714,0,0,0,0.571428571428571,0,0.142857142857143,0.0714285714285714,0.571428571428571,8,"78",14,"Finken"
"ID34","ID34",34,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,"74",1,"Pantoffeln"
"ID35","ID35",35,0,1,0,0,0,2,0,0,0,0,0.333333333333333,0,0,0,0.666666666666667,0,0,0,0.666666666666667,2,"78",3,"Finken"
"ID36","ID36",36,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,"75",2,"Schlapfen/Schlappen"
"ID37","ID37",37,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,"73",2,"Latschen"
"ID38","ID38",38,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"75",1,"Schlapfen/Schlappen"
"ID39","ID39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID40","ID40",40,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,"75",2,"Schlapfen/Schlappen"
"ID41","ID41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID42","ID42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID43","ID43",43,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,2,"78",2,"Finken"
"ID44","ID44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID45","ID45",45,0,3,1,0,0,1,0,1,0,0,0.5,0.166666666666667,0,0,0.166666666666667,0,0.166666666666667,0,0.5,3,"74",6,"Pantoffeln"
"ID46","ID46",46,0,2,0,0,0,1,1,0,0,0,0.5,0,0,0,0.25,0.25,0,0,0.5,2,"74",4,"Pantoffeln"
"ID47","ID47",47,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,"74",2,"Pantoffeln"
"ID48","ID48",48,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,"78",1,"Finken"
"ID49","ID49",49,1,1,1,0,0,14,0,1,0,0.0555555555555556,0.0555555555555556,0.0555555555555556,0,0,0.777777777777778,0,0.0555555555555556,0,0.777777777777778,14,"78",18,"Finken"
"ID50","ID50",50,0,1,1,0,0,19,0,2,0,0,0.0434782608695652,0.0434782608695652,0,0,0.826086956521739,0,0.0869565217391304,0,0.826086956521739,19,"78",23,"Finken"
"ID51","ID51",51,1,0,2,0,0,15,0,1,0,0.0526315789473684,0,0.105263157894737,0,0,0.789473684210526,0,0.0526315789473684,0,0.789473684210526,15,"78",19,"Finken"
"ID52","ID52",52,1,2,0,0,0,11,0,0,0,0.0714285714285714,0.142857142857143,0,0,0,0.785714285714286,0,0,0,0.785714285714286,11,"78",14,"Finken"
"ID53","ID53",53,1,0,1,0,0,11,1,0,0,0.0714285714285714,0,0.0714285714285714,0,0,0.785714285714286,0.0714285714285714,0,0,0.785714285714286,11,"78",14,"Finken"
"ID54","ID54",54,1,3,0,0,0,8,0,0,0,0.0833333333333333,0.25,0,0,0,0.666666666666667,0,0,0,0.666666666666667,8,"78",12,"Finken"
"ID55","ID55",55,3,2,0,0,0,4,0,0,0,0.333333333333333,0.222222222222222,0,0,0,0.444444444444444,0,0,0,0.444444444444444,4,"78",9,"Finken"
"ID56","ID56",56,0,1,1,0,0,4,0,1,0,0,0.142857142857143,0.142857142857143,0,0,0.571428571428571,0,0.142857142857143,0,0.571428571428571,4,"78",7,"Finken"
"ID57","ID57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID58","ID58",58,1,1,1,0,0,3,0,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0,0,0.5,0,0,0,0.5,3,"78",6,"Finken"
"ID59","ID59",59,1,1,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0.5,1,"73",2,"Latschen"
"ID60","ID60",60,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,"77",1,"Patschen"
"ID61","ID61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID62","ID62",62,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,"73",1,"Latschen"
"ID63","ID63",63,1,1,1,0,0,3,0,1,0,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0.428571428571429,0,0.142857142857143,0,0.428571428571429,3,"78",7,"Finken"
"ID64","ID64",64,1,10,1,0,0,28,0,1,0,0.024390243902439,0.24390243902439,0.024390243902439,0,0,0.682926829268293,0,0.024390243902439,0,0.682926829268293,28,"78",41,"Finken"
"ID65","ID65",65,0,1,0,0,0,3,0,0,0,0,0.25,0,0,0,0.75,0,0,0,0.75,3,"78",4,"Finken"
"ID66","ID66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID67","ID67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID68","ID68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID69","ID69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID70","ID70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID71","ID71",71,0,0,12,0,17,0,0,1,0,0,0,0.4,0,0.566666666666667,0,0,0.0333333333333333,0,0.566666666666667,17,"77",30,"Patschen"
"ID72","ID72",72,2,1,25,0,26,0,0,0,0,0.037037037037037,0.0185185185185185,0.462962962962963,0,0.481481481481481,0,0,0,0,0.481481481481481,26,"77",54,"Patschen"
"ID73","ID73",73,1,2,9,0,9,0,0,0,0,0.0476190476190476,0.0952380952380952,0.428571428571429,0,0.428571428571429,0,0,0,0,0.428571428571429,9,"75",21,"Schlapfen/Schlappen"
"ID74","ID74",74,0,2,7,0,4,0,0,0,0,0,0.153846153846154,0.538461538461538,0,0.307692307692308,0,0,0,0,0.538461538461538,7,"75",13,"Schlapfen/Schlappen"
"ID75","ID75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID76","ID76",76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,"78",1,"Finken"
"ID77","ID77",77,2,0,0,0,0,1,0,0,0,0.666666666666667,0,0,0,0,0.333333333333333,0,0,0,0.666666666666667,2,"73",3,"Latschen"
"ID78","ID78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID79","ID79",79,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,4,"78",4,"Finken"
"ID80","ID80",80,0,0,1,0,0,2,0,1,0,0,0,0.25,0,0,0.5,0,0.25,0,0.5,2,"78",4,"Finken"
"ID81","ID81",81,1,0,1,0,0,17,0,1,0,0.05,0,0.05,0,0,0.85,0,0.05,0,0.85,17,"78",20,"Finken"
"ID82","ID82",82,0,2,0,0,0,12,0,0,0,0,0.142857142857143,0,0,0,0.857142857142857,0,0,0,0.857142857142857,12,"78",14,"Finken"
"ID83","ID83",83,3,1,4,0,0,96,0,1,0,0.0285714285714286,0.00952380952380952,0.0380952380952381,0,0,0.914285714285714,0,0.00952380952380952,0,0.914285714285714,96,"78",105,"Finken"
"ID84","ID84",84,2,2,2,0,0,76,1,2,0,0.0235294117647059,0.0235294117647059,0.0235294117647059,0,0,0.894117647058824,0.0117647058823529,0.0235294117647059,0,0.894117647058824,76,"78",85,"Finken"
"ID85","ID85",85,1,1,1,0,0,21,0,0,0,0.0416666666666667,0.0416666666666667,0.0416666666666667,0,0,0.875,0,0,0,0.875,21,"78",24,"Finken"
"ID86","ID86",86,0,0,2,0,0,12,0,1,0,0,0,0.133333333333333,0,0,0.8,0,0.0666666666666667,0,0.8,12,"78",15,"Finken"
"ID87","ID87",87,0,1,0,0,0,4,1,0,0,0,0.166666666666667,0,0,0,0.666666666666667,0.166666666666667,0,0,0.666666666666667,4,"78",6,"Finken"
"ID88","ID88",88,0,0,0,1,0,5,0,0,0,0,0,0,0.166666666666667,0,0.833333333333333,0,0,0,0.833333333333333,5,"78",6,"Finken"
"ID89","ID89",89,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0.857142857142857,0,0.142857142857143,0,0.857142857142857,6,"78",7,"Finken"
"ID90","ID90",90,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,2,"78",2,"Finken"
"ID91","ID91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID92","ID92",92,1,0,0,0,0,5,0,1,0,0.142857142857143,0,0,0,0,0.714285714285714,0,0.142857142857143,0,0.714285714285714,5,"78",7,"Finken"
