"id","hexID","X83","X84","X85","X86","rel_83","rel_84","rel_85","rel_86","relMax","absMax","maxLevel","total","antwort"
"ID1","ID1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID2","ID2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID3","ID3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID4","ID4",4,1,0,0,0,1,0,0,0,1,1,"83",1,"Viertel nach zehn"
"ID5","ID5",5,0,0,1,0,0,0,1,0,1,1,"85",1,"Viertel ab zehn"
"ID6","ID6",6,0,0,2,0,0,0,1,0,1,2,"85",2,"Viertel ab zehn"
"ID7","ID7",7,3,0,8,0,0.272727272727273,0,0.727272727272727,0,0.727272727272727,8,"85",11,"Viertel ab zehn"
"ID8","ID8",8,1,1,6,0,0.125,0.125,0.75,0,0.75,6,"85",8,"Viertel ab zehn"
"ID9","ID9",9,1,0,2,0,0.333333333333333,0,0.666666666666667,0,0.666666666666667,2,"85",3,"Viertel ab zehn"
"ID10","ID10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID11","ID11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID12","ID12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID13","ID13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID14","ID14",14,0,0,2,0,0,0,1,0,1,2,"85",2,"Viertel ab zehn"
"ID15","ID15",15,1,0,2,0,0.333333333333333,0,0.666666666666667,0,0.666666666666667,2,"85",3,"Viertel ab zehn"
"ID16","ID16",16,1,1,8,0,0.1,0.1,0.8,0,0.8,8,"85",10,"Viertel ab zehn"
"ID17","ID17",17,1,0,32,0,0.0303030303030303,0,0.96969696969697,0,0.96969696969697,32,"85",33,"Viertel ab zehn"
"ID18","ID18",18,0,1,3,0,0,0.25,0.75,0,0.75,3,"85",4,"Viertel ab zehn"
"ID19","ID19",19,3,1,0,0,0.75,0.25,0,0,0.75,3,"83",4,"Viertel nach zehn"
"ID20","ID20",20,4,1,3,0,0.5,0.125,0.375,0,0.5,4,"83",8,"Viertel nach zehn"
"ID21","ID21",21,2,0,2,0,0.5,0,0.5,0,0.5,2,"83",4,"Viertel nach zehn"
"ID22","ID22",22,0,0,1,0,0,0,1,0,1,1,"85",1,"Viertel ab zehn"
"ID23","ID23",23,0,1,0,0,0,1,0,0,1,1,"84",1,"Viertel elf"
"ID24","ID24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID25","ID25",25,1,0,1,0,0.5,0,0.5,0,0.5,1,"83",2,"Viertel nach zehn"
"ID26","ID26",26,1,0,1,0,0.5,0,0.5,0,0.5,1,"83",2,"Viertel nach zehn"
"ID27","ID27",27,6,1,45,0,0.115384615384615,0.0192307692307692,0.865384615384615,0,0.865384615384615,45,"85",52,"Viertel ab zehn"
"ID28","ID28",28,9,0,85,3,0.0927835051546392,0,0.876288659793814,0.0309278350515464,0.876288659793814,85,"85",97,"Viertel ab zehn"
"ID29","ID29",29,8,1,126,0,0.0592592592592593,0.00740740740740741,0.933333333333333,0,0.933333333333333,126,"85",135,"Viertel ab zehn"
"ID30","ID30",30,3,0,13,1,0.176470588235294,0,0.764705882352941,0.0588235294117647,0.764705882352941,13,"85",17,"Viertel ab zehn"
"ID31","ID31",31,0,0,1,0,0,0,1,0,1,1,"85",1,"Viertel ab zehn"
"ID32","ID32",32,1,0,2,0,0.333333333333333,0,0.666666666666667,0,0.666666666666667,2,"85",3,"Viertel ab zehn"
"ID33","ID33",33,1,1,1,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,1,"83",3,"Viertel nach zehn"
"ID34","ID34",34,2,0,0,0,1,0,0,0,1,2,"83",2,"Viertel nach zehn"
"ID35","ID35",35,0,1,0,0,0,1,0,0,1,1,"84",1,"Viertel elf"
"ID36","ID36",36,1,0,1,0,0.5,0,0.5,0,0.5,1,"83",2,"Viertel nach zehn"
"ID37","ID37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID38","ID38",38,0,0,2,0,0,0,1,0,1,2,"85",2,"Viertel ab zehn"
"ID39","ID39",39,1,0,0,0,1,0,0,0,1,1,"83",1,"Viertel nach zehn"
"ID40","ID40",40,4,0,0,0,1,0,0,0,1,4,"83",4,"Viertel nach zehn"
"ID41","ID41",41,2,0,1,0,0.666666666666667,0,0.333333333333333,0,0.666666666666667,2,"83",3,"Viertel nach zehn"
"ID42","ID42",42,3,0,0,0,1,0,0,0,1,3,"83",3,"Viertel nach zehn"
"ID43","ID43",43,0,0,1,0,0,0,1,0,1,1,"85",1,"Viertel ab zehn"
"ID44","ID44",44,1,0,15,0,0.0625,0,0.9375,0,0.9375,15,"85",16,"Viertel ab zehn"
"ID45","ID45",45,0,0,18,0,0,0,1,0,1,18,"85",18,"Viertel ab zehn"
"ID46","ID46",46,2,0,17,0,0.105263157894737,0,0.894736842105263,0,0.894736842105263,17,"85",19,"Viertel ab zehn"
"ID47","ID47",47,2,0,8,0,0.2,0,0.8,0,0.8,8,"85",10,"Viertel ab zehn"
"ID48","ID48",48,3,0,11,2,0.1875,0,0.6875,0.125,0.6875,11,"85",16,"Viertel ab zehn"
"ID49","ID49",49,2,0,11,0,0.153846153846154,0,0.846153846153846,0,0.846153846153846,11,"85",13,"Viertel ab zehn"
"ID50","ID50",50,1,0,10,0,0.0909090909090909,0,0.909090909090909,0,0.909090909090909,10,"85",11,"Viertel ab zehn"
"ID51","ID51",51,1,0,3,0,0.25,0,0.75,0,0.75,3,"85",4,"Viertel ab zehn"
"ID52","ID52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID53","ID53",53,1,0,3,0,0.25,0,0.75,0,0.75,3,"85",4,"Viertel ab zehn"
"ID54","ID54",54,1,1,0,0,0.5,0.5,0,0,0.5,1,"83",2,"Viertel nach zehn"
"ID55","ID55",55,1,0,0,0,1,0,0,0,1,1,"83",1,"Viertel nach zehn"
"ID56","ID56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID57","ID57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID58","ID58",58,3,1,3,0,0.428571428571429,0.142857142857143,0.428571428571429,0,0.428571428571429,3,"83",7,"Viertel nach zehn"
"ID59","ID59",59,6,0,29,0,0.171428571428571,0,0.828571428571429,0,0.828571428571429,29,"85",35,"Viertel ab zehn"
"ID60","ID60",60,0,0,1,0,0,0,1,0,1,1,"85",1,"Viertel ab zehn"
"ID61","ID61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID62","ID62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID63","ID63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID64","ID64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID65","ID65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID66","ID66",66,3,24,0,0,0.111111111111111,0.888888888888889,0,0,0.888888888888889,24,"84",27,"Viertel elf"
"ID67","ID67",67,5,33,0,0,0.131578947368421,0.868421052631579,0,0,0.868421052631579,33,"84",38,"Viertel elf"
"ID68","ID68",68,1,16,0,0,0.0588235294117647,0.941176470588235,0,0,0.941176470588235,16,"84",17,"Viertel elf"
"ID69","ID69",69,1,10,0,0,0.0909090909090909,0.909090909090909,0,0,0.909090909090909,10,"84",11,"Viertel elf"
"ID70","ID70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID71","ID71",71,0,0,1,0,0,0,1,0,1,1,"85",1,"Viertel ab zehn"
"ID72","ID72",72,4,1,1,0,0.666666666666667,0.166666666666667,0.166666666666667,0,0.666666666666667,4,"83",6,"Viertel nach zehn"
"ID73","ID73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID74","ID74",74,0,0,2,0,0,0,1,0,1,2,"85",2,"Viertel ab zehn"
